timestamp,Média,Mediana,Desvio Padrão,Contagem,P95,P99
2025-11-09 18:40:20+00:00,82.55086100000001,21.727,107.3089738626701,3,187.981075,202.759215
2025-11-09 18:40:25+00:00,1220.3105879,20.486749500000002,1553.7593130019304,10,3029.7220139,3031.75095878
2025-11-09 18:40:30+00:00,551.3620836071428,14.5108125,1173.4390373419237,28,3024.240318,3025.22513175
2025-11-09 18:40:35+00:00,840.4221305499999,15.606688,1359.4194096672902,40,3026.03470615,3027.69894376
2025-11-09 18:40:40+00:00,559.5837336727272,13.337375,1170.3362418376819,55,3021.7957223999997,3026.23357664
2025-11-09 18:40:45+00:00,603.2962173661972,10.995584,1205.2269932218974,71,3021.214731,3024.4044764
2025-11-09 18:40:50+00:00,643.1586862105263,11.9127915,1233.189229202202,76,3016.931824,3023.245116
2025-11-09 18:40:55+00:00,586.8090095,9.253104,1189.9744353409712,94,3016.4611907000003,3045.8519036899997
2025-11-09 18:41:00+00:00,615.9372827798164,10.69975,1211.6203015152748,109,3015.7729678,3017.386025
2025-11-09 18:41:05+00:00,372.8658149090909,9.3007915,983.8271109958428,132,3012.251068,3016.64941404
2025-11-09 18:41:10+00:00,576.0382108740157,8.67875,1181.1317198410657,127,3016.1627348,3020.456198
2025-11-09 18:41:15+00:00,674.4369924930556,7.3880835000000005,1253.0415620386316,144,3012.8103198,3017.18684574
2025-11-09 18:41:20+00:00,697.9789262763157,7.169624499999999,1268.0684833266155,152,3010.66924735,3014.71189134
2025-11-09 18:41:25+00:00,473.07803053367877,6.271792,1091.0640095233252,193,3010.6053538,3015.5997254
2025-11-09 18:41:30+00:00,407.01881535897434,6.644291,1023.791314540467,195,3010.1681804,3017.84283694
2025-11-09 18:41:35+00:00,561.916357355,6.5997710000000005,1169.122130764552,200,3010.5639364500003,3018.29306433
2025-11-09 18:41:40+00:00,594.9581967794118,6.6501665,1195.2878272399387,204,3010.1617644499997,3014.95958728
2025-11-09 18:41:45+00:00,568.5017026473214,5.6555625,1174.637354990396,224,3009.0527019,3015.3738708399997
2025-11-09 18:41:50+00:00,529.8948795809129,7.472958,1140.8088723723927,241,3009.129085,3012.5186348
2025-11-09 18:41:55+00:00,726.488118092,6.6430415,1284.5515337320778,250,3009.0824427,3013.18869233
2025-11-09 18:42:00+00:00,581.8610492666667,5.050292,1185.374580216667,255,3008.5617216,3013.726983
2025-11-09 18:42:05+00:00,687.0550056454184,5.228958,1260.7317285038127,251,3010.028772,3014.6441055
2025-11-09 18:42:10+00:00,670.9033527272727,5.191125,1249.6880907508687,275,3008.9018929,3012.7993575
2025-11-09 18:42:15+00:00,560.259041,5.5073545,1166.676686059472,314,3008.55230835,3012.122293
2025-11-09 18:42:20+00:00,649.6471876270627,6.013542,1234.6487846080338,303,3009.8102841,3012.47080616
2025-11-09 18:42:25+00:00,550.2773265127388,5.766166500000001,1158.9151130193982,314,3008.2230813,3012.01400721
2025-11-09 18:42:30+00:00,748.280046604811,5.843,1297.9660071248086,291,3010.5409185,3013.8319058
2025-11-09 18:42:35+00:00,677.0361943566434,5.6946045000000005,1253.3563935033594,286,3008.255553,3015.127485
2025-11-09 18:42:40+00:00,712.5263535563139,6.08775,1276.1333683121388,293,3009.4358598,3013.8140297200002
2025-11-09 18:42:45+00:00,552.7468746408668,4.27825,1162.1185915195558,323,3007.7775761000003,3013.8486712599997
2025-11-09 18:42:50+00:00,645.2271925987055,3.989583,1232.6995335608071,309,3008.3290848,3013.381405
2025-11-09 18:42:55+00:00,690.294589794702,5.0461255000000005,1262.3136999555284,302,3007.4531891,3009.99216816
2025-11-09 18:43:00+00:00,562.4956636579805,5.466625,1169.4179307790155,307,3008.9946438,3013.45547352
2025-11-09 18:43:05+00:00,741.3526008280702,4.496083,1294.5190769126366,285,3007.502218,3010.6118272800004
2025-11-09 18:43:10+00:00,757.4357470915254,5.2595,1303.162221782742,295,3006.8319094,3009.0029585800003
2025-11-09 18:43:15+00:00,589.4659604123376,4.9550625,1190.913925519562,308,3007.9038894,3011.74746701
2025-11-09 18:43:20+00:00,655.065561366242,5.2771665,1238.6691389586947,314,3008.3338976,3011.54676033
2025-11-09 18:43:25+00:00,586.1515063187501,4.87225,1188.4319345520003,320,3007.0681873,3011.89672112
2025-11-09 18:43:30+00:00,546.3553490327869,5.079834,1156.4463739528433,305,3008.7583676,3012.69141836
2025-11-09 18:43:35+00:00,605.158089203125,4.9104165,1203.0945911849385,320,3008.141621,3012.8985091900004
2025-11-09 18:43:40+00:00,662.1238189183007,5.058645500000001,1243.5294164551208,306,3007.9075225,3012.30430195
2025-11-09 18:43:45+00:00,559.1278647961783,4.869667,1167.123670224829,314,3008.62803905,3010.89533004
2025-11-09 18:43:50+00:00,502.11952860312505,4.989875,1117.8651114410632,320,3007.9453406,3011.21022131
2025-11-09 18:43:55+00:00,643.6731301714285,5.097333,1230.3287838378674,315,3007.7307145,3013.09447452
2025-11-09 18:44:00+00:00,726.6307222367491,5.692334,1284.8796561805218,283,3008.0225225,3014.11240738
2025-11-09 18:44:05+00:00,741.9193334945849,5.160875,1294.782365487426,277,3010.3084013999996,3015.8494499199996
2025-11-09 18:44:10+00:00,742.7015365363321,5.606417,1294.7114894642066,289,3009.2430762,3013.47790996
2025-11-09 18:44:15+00:00,715.1645973033333,5.3638335,1278.1248589425845,300,3008.16982875,3011.94765759
2025-11-09 18:44:20+00:00,478.53482285119054,5.128563,1096.1078698008967,336,3007.9898040000003,3012.6824367500003
