Scenario,V1 Total Requests,V3 Total Requests,Amplification Factor,Additional Load (%)
catastrofe,22698.0,22708.0,1.0004405674508767,0.044056745087672766
degradacao,22725.0,22689.0,0.9984158415841584,-0.15841584158415856
rajadas,22780.0,22658.0,0.9946444249341527,-0.5355575065847273
indisponibilidade,22628.0,22693.0,1.0028725472865476,0.2872547286547622
