version,scenario,avg_response_time,p95_response_time,min_response_time,max_response_time,total_requests,success_count,fallback_count,http_5xx_count,other_error_count,success_rate,fallback_rate,error_rate,http_5xx_rate
V1,Normal,26.78516880338983,52.029846049999996,1.809167,378.346458,2950,2950,0,0,0,100.0,0.0,0.0,0.0
V1,Latencia,3044.643743654667,3108.78211205,3003.651793,3114.983002,750,750,0,0,0,100.0,0.0,0.0,0.0
V1,Falha,21.567326730847455,56.982079499999976,1.720042,149.135208,2950,0,0,2950,0,0.0,0.0,100.0,100.0
V2,Normal,44.16653676241379,157.56835179999885,4.362834,416.043958,2900,2900,0,0,0,100.0,0.0,0.0,0.0
V2,Latencia,3073.200304545333,3128.42824125,3018.570709,3139.981876,750,750,0,0,0,100.0,0.0,0.0,0.0
V2,Falha,24.501516495593222,89.16123329999996,0.975833,247.764167,2950,0,2950,0,0,0.0,100.0,0.0,0.0
