Version,Total Requests,Success (200),Fallback (202),API Failure (500),CB Open (503),Success Rate (%),Fallback Rate (%),Total Success Rate (%),API Failure Rate (%),CB Protection Rate (%)
V1,22613.0,14227.0,0.0,8386.0,0.0,62.91513731039667,0.0,62.91513731039667,37.08486268960333,0.0
V2,22512.0,13917.0,7847.0,748.0,0.0,61.820362473347544,34.85696517412935,96.6773276474769,3.322672352523099,0.0
V3,22794.0,17721.0,0.0,5073.0,0.0,77.74414319557779,0.0,77.74414319557779,22.255856804422216,0.0
V4,22794.0,14063.0,7952.0,779.0,0.0,61.696060366763184,34.88637360708958,96.58243397385277,3.417566026147232,0.0
