Version,Avg Response (ms),P50 (ms),P95 (ms),P99 (ms),Max (ms),Fast Requests (%),Slow Requests (%)
V1,249.47280867734364,5.9165215,2465.8433445500004,2913.37141782,3041.321627,90.58568137515506,9.41431862484494
V2,225.63974743489038,2.239,2416.3744309999997,2896.20553796,3128.755919,91.37037856984725,8.629621430152756
V3,1061.6773460151335,1235.536292,2637.3659848,2936.5394414800003,3111.392737,39.37789543348776,16.796823295830578
V4,221.40559581016063,2.3817915000000003,2424.29244875,2884.6327908000007,3162.229029,91.56514830508475,8.434851694915254
