Version,Total Requests,Success (200),Fallback (202),API Failure (500),CB Open (503),Success Rate (%),Fallback Rate (%),Total Success Rate (%),API Failure Rate (%),CB Protection Rate (%)
V1,22728.0,8105.0,0.0,14623.0,0.0,35.66085885251672,0.0,35.66085885251672,64.33914114748328,0.0
V2,22898.0,7631.0,14145.0,1122.0,0.0,33.32605467726439,61.77395405712289,95.10000873438729,4.899991265612718,0.0
V3,22658.0,11960.0,0.0,10698.0,0.0,52.78488833965929,0.0,52.78488833965929,47.21511166034072,0.0
V4,22488.0,7211.0,14183.0,1094.0,0.0,32.065990750622554,63.06919245819993,95.13518320882248,4.864816791177517,0.0
