Version,Avg Response (ms),P50 (ms),P95 (ms),P99 (ms),Max (ms),Fast Requests (%),Slow Requests (%)
V1,747.8512012483382,35.6482705,2844.273741,2977.87045615,3378.020376,70.98732606576266,29.01267393423735
V2,192.99232526402773,2.212729,2338.0443383500005,2890.59067613,3133.520168,92.74504646677187,7.2461862177801155
V3,1084.8032254140746,1028.203126,2825.3529682,2975.3600223599997,3291.291987,48.40959943842408,30.562014653621727
V4,168.14091078183267,1.94625,2222.4079674,2857.09074902,3218.310793,93.66668142964701,6.3023163116169885
