Version,Total Requests,Success (200),Fallback (202),API Failure (500),CB Open (503),Success Rate (%),Fallback Rate (%),Total Success Rate (%),API Failure Rate (%),CB Protection Rate (%)
V1,22769.0,17156.0,0.0,5613.0,0.0,75.3480609600773,0.0,75.3480609600773,24.651939039922702,0.0
V2,22728.0,6044.0,15709.0,975.0,0.0,26.592749032030977,69.1173882435762,95.71013727560718,4.289862724392819,0.0
V3,22802.0,17502.0,0.0,5300.0,0.0,76.75642487501096,0.0,76.75642487501096,23.243575124989036,0.0
V4,22641.0,5108.0,16783.0,750.0,0.0,22.56084095225476,74.12658451481825,96.68742546707301,3.3125745329269907,0.0
