Version,Avg Response (ms),P50 (ms),P95 (ms),P99 (ms),Max (ms),Fast Requests (%),Slow Requests (%)
V1,286.0204549363761,25.563917,2525.665168199998,2927.52630348,3206.821168,89.74064419210886,10.241682499005876
V2,269.6043534396184,21.1027085,2509.0036176999997,2922.54369037,3374.426002,90.11535048802129,9.71162377994676
V3,673.0945498069813,48.4909165,2604.1983849499998,2936.21093522,3582.406544,65.61317017343076,14.04172902544238
V4,268.21177051203233,20.337688,2509.76100505,2911.85546925,3242.557002,90.13701036360443,9.726857544352715
