Version,Avg Response (ms),P50 (ms),P95 (ms),P99 (ms),Max (ms),Fast Requests (%),Slow Requests (%)
V1,145.97187786960924,4.18175,609.378125,2835.126835,3097.228668,94.90330822430731,4.995374653098982
V2,22.482603403617915,1.308292,30.01618299999999,119.79048664000035,3003.187501,99.31612618574896,0.6838738142510479
V3,1451.3877187969308,1513.898486,2261.014042,2852.1410595999996,3301.273626,9.33995866496636,12.928191372411064
V4,19.649207324044905,1.390334,30.700700200000014,126.51293499999954,2988.409626,99.46310511603141,0.536894883968585
